x,y,z
1.47314e-07,1,-0.001
6.48181e-07,0.999999,-0.002
1.5026e-06,0.999998,-0.003
2.71056e-06,0.999997,-0.00399999
4.27207e-06,0.999996,-0.00499999
6.18711e-06,0.999994,-0.00599998
8.45567e-06,0.999992,-0.00699996
1.10778e-05,0.999989,-0.00799994
1.40533e-05,0.999986,-0.00899992
1.73824e-05,0.999983,-0.00999989
2.1065e-05,0.999979,-0.0109999
2.5101e-05,0.999975,-0.0119998
2.94904e-05,0.999971,-0.0129998
3.42333e-05,0.999966,-0.0139997
3.93295e-05,0.999961,-0.0149996
4.47792e-05,0.999955,-0.0159995
5.05822e-05,0.999949,-0.0169994
5.67385e-05,0.999943,-0.0179993
6.32481e-05,0.999937,-0.0189992
7.01109e-05,0.99993,-0.0199991
7.73271e-05,0.999923,-0.0209989
8.48964e-05,0.999915,-0.0219988
9.28188e-05,0.999907,-0.0229986
0.000101094,0.999899,-0.0239984
0.000109723,0.99989,-0.0249982
0.000118705,0.999881,-0.025998
0.00012804,0.999872,-0.0269977
0.000137727,0.999862,-0.0279975
0.000147768,0.999852,-0.0289972
0.000158162,0.999842,-0.0299969
0.000168908,0.999831,-0.0309965
0.000180007,0.99982,-0.0319962
0.000191459,0.999809,-0.0329958
0.000203263,0.999797,-0.0339954
0.000215421,0.999785,-0.034995
0.00022793,0.999772,-0.0359946
0.000240793,0.999759,-0.0369941
0.000254007,0.999746,-0.0379936
0.000267575,0.999732,-0.0389931
0.000281494,0.999719,-0.0399926
0.000295766,0.999704,-0.040992
0.00031039,0.99969,-0.0419914
0.000325366,0.999675,-0.0429908
0.000340694,0.999659,-0.0439901
0.000356374,0.999644,-0.0449894
0.000372406,0.999628,-0.0459887
0.00038879,0.999611,-0.0469879
0.000405526,0.999594,-0.0479871
0.000422613,0.999577,-0.0489863
0.000440052,0.99956,-0.0499854
0.000457843,0.999542,-0.0509845
0.000475985,0.999524,-0.0519836
0.000494478,0.999506,-0.0529827
0.000513323,0.999487,-0.0539817
0.000532519,0.999467,-0.0549806
0.000552066,0.999448,-0.0559795
0.000571964,0.999428,-0.0569784
0.000592213,0.999408,-0.0579773
0.000612813,0.999387,-0.0589761
0.000633763,0.999366,-0.0599748
0.000655065,0.999345,-0.0609735
0.000676717,0.999323,-0.0619722
0.000698719,0.999301,-0.0629708
0.000721072,0.999279,-0.0639694
